"ItemID","ItemName","RunBand","Rarity","ChaseFlag","Slot","RoleTags","AllowedClasses","PrimaryStat","Strength","Intelligence","Dexterity","Vitality","BranchAbility","BranchModifier","Special","SpecialTags","PartyUtility","DropSource","EncounterID","ShopPool","IntendedUse","ImplementationStatus","Notes"
"canopy_leafwatch_helm","Leafwatch Helm","Early","Common","No","helmet","striker;support","All","Dexterity","0","0","2","1","Rally Mark","","","","Marks the current target for ally meter gain.","Canopy Ambush","canopy-ambush","Early Common","Introduces party focus targeting.","Planned","Targeting behavior can be added after role tags."
"canopy_seedglass_charm","Seedglass Charm","Early","Common","No","amulet","caster;support","Mage;Cleric","Intelligence","0","2","0","1","Ember Seed","","","","Small ranged Branch cast.","Canopy Ambush","canopy-ambush","Early Common","Simple caster auto-loop card.","Planned","Good shop pickup for Mage."
"spore_menders_ring","Mender's Spore Ring","Early","Common","No","ring","support","Cleric;Mage;All","Intelligence","0","2","0","0","Mendbeat","","","","Small automatic heal for lowest-health nearby ally.","Spore Crossing","spore-crossing","Early Common","First healer-flavored item.","Planned","Needs support targeting before full behavior."
"spore_cloudstep_boots","Cloudstep Boots","Early","Common","No","boots","tempo;controller","All","Dexterity","0","0","2","1","Root Snare","Quickroot","","","Small slow/root pulse near target.","Spore Crossing","spore-crossing","Early Common","Control plus timing starter.","Planned","Good for Ranger or support."
"spore_bloommail_vest","Bloommail Vest","Early","Common","No","bodyArmour","support;frontline","All","Vitality","0","0","0","3","Ward Pulse","","","","Brief self barrier and small radiant pulse.","Spore Crossing","spore-crossing","Early Common","Survival with visible Branch beat.","Planned","Broadly useful stabilizer."
"nightbloom_mantle","Nightbloom Mantle","Mid","Uncommon","No","bodyArmour","support;frontline","All","Vitality","0","2","0","4","Ward Pulse","Protector's Wake","","","Defensive Branch Abilities also shield the lowest-health ally.","Nightbloom Elite","nightbloom-elite","Mid Uncommon","First elite support-tank reward.","Planned","Specific Nightbloom elite reward candidate."
"nightbloom_veil","Matriarch's Veil","Mid","Uncommon","No","helmet","caster;support","Mage;Cleric","Intelligence","0","4","0","2","Mendbeat","Star Bloom","","","Healing or pulse effects gain a small radius bonus.","Nightbloom Elite","nightbloom-elite","Mid Uncommon","Caster/support identity item.","Planned","Strong Cleric pickup."
"nightbloom_petal_ring","Petalglass Ring","Mid","Uncommon","No","ring","caster;controller","All","Intelligence","0","3","0","2","Ember Seed","Fire Modifier","","","Fire Branch hits lightly scorch marked targets.","Nightbloom Elite","nightbloom-elite","Mid Uncommon","Caster damage hook after first elite.","Planned","Works even without class-specific spell stats."
"nightbloom_rootrunner_pants","Rootrunner Pants","Mid","Uncommon","No","pants","tempo;support","All","Vitality","0","0","2","4","Haste","Quickroot","","","Improves party tempo through shorter Branch recovery.","Nightbloom Elite","nightbloom-elite","Mid Uncommon","Flexible tempo reward.","Planned","Nice shop/elite bridge item."
"market_starthread_gloves","Starthread Gloves","Mid","Uncommon","No","gloves","striker;tempo","Ranger;Thief;Warrior","Dexterity","0","0","4","2","Combo Attack","Quickroot","","","Fast physical sequence item.","Market Unlock","market-unlock","Market Uncommon","Core shop build-directional item.","Planned","Good first market highlight."
"market_moonweave_armour","Moonweave Armour","Mid","Uncommon","No","bodyArmour","support;frontline","All","Vitality","0","2","0","4","","Wardwoven","","","Compatible Branch hits grant a small barrier.","Market Unlock","market-unlock","Market Uncommon","Broad defensive market offer.","Planned","Good default shop stabilizer."
"market_focus_crown","Crescent Star Helm","Mid","Uncommon","No","helmet","caster;tempo","Mage;Cleric;Ranger","Intelligence","0","4","1","0","Focused Shot","Rallying","","","Marked targets feed a little meter to nearby allies.","Market Unlock","market-unlock","Market Uncommon","Target-focus item for party play.","Planned","Hybrid Ranger/Mage shop option."
"market_mossbound_sandals","Mossbound Sandals","Mid","Uncommon","No","boots","controller;tempo","All","Dexterity","0","0","3","2","Root Snare","Quickroot","","","Positioning-friendly control item.","Market Unlock","market-unlock","Market Uncommon","Control item before harder elites.","Planned","Can influence future party AI positioning."
"obsidian_aegis","Obsidian Aegis","Late","Uncommon","No","bodyArmour","frontline","Warrior;All","Vitality","2","0","0","5","Ward Pulse","Wardwoven","","","Large self barrier when the wearer is pressured.","Obsidian Rite","obsidian-rite","Late Uncommon","Frontline survival check reward.","Planned","Encounter-specific tank item."
"obsidian_prism_charm","Reliquary Prism Charm","Late","Uncommon","No","amulet","caster;support","Mage;Cleric","Intelligence","0","5","0","2","Ember Seed","Star Bloom","","","Area Branch effects gain radius and clearer visuals.","Obsidian Rite","obsidian-rite","Late Uncommon","Caster area payoff item.","Planned","Good reward from reliquary boss fantasy."
"obsidian_blackroot_band","Blackroot Band","Late","Uncommon","No","ring","controller;support","All","Vitality","0","0","1","4","Root Snare","Sap Fed","","","Controlled enemies feed Bloom Meter on hit.","Obsidian Rite","obsidian-rite","Late Uncommon","Control-to-meter bridge.","Planned","Useful with Ranger and Mage."
"obsidian_shardbow","Obsidian Shardbow","Late","Uncommon","No","weapon","striker;controller","Ranger","Dexterity","0","0","5","1","","","Shard Volley","","Ranged Special that pierces marked enemies.","Obsidian Rite","obsidian-rite","Late Uncommon","Ranger weapon reward.","Planned","Future weapon special."
"bell_tollring","Bellwraith Tollring","Late","Uncommon","No","ring","controller;tempo","All","Intelligence","0","3","0","3","Rally Mark","Sap Fed","Bell Toll","","Short control Special that briefly weakens enemy casts.","Bell and Bramble","bell-and-bramble","Late Uncommon","Control reward from Bellwraith.","Planned","Could start as passive modifier if Special not ready."
"bell_resonant_censer","Resonant Censer","Late","Uncommon","No","amulet","support","Cleric;Mage;All","Intelligence","0","5","0","2","Mendbeat","Rallying","","","Ally heals also grant a small Bloom Meter pulse.","Bell and Bramble","bell-and-bramble","Late Uncommon","Support engine item.","Planned","Strong Cleric chase before bosses."
"bell_brambleguard_greaves","Brambleguard Greaves","Late","Uncommon","No","boots","frontline;controller","All","Vitality","1","0","2","4","Root Snare","Protector's Wake","","","Roots near the frontline create a short ally shield.","Bell and Bramble","bell-and-bramble","Late Uncommon","Frontline controller hybrid.","Planned","Good Warrior or support pickup."
"bell_abyssal_chimeblade","Abyssal Chimeblade","Late","Uncommon","No","weapon","striker;controller","Thief;Warrior","Dexterity","2","0","4","0","","","Chimecut","","Fast Special that marks enemies for follow-up hits.","Bell and Bramble","bell-and-bramble","Late Uncommon","Physical controller weapon.","Planned","Can be later class-neutral weapon special."
"briarheart_thornplate","Sovereign Thornplate","End","Rare","Yes","bodyArmour","frontline","Warrior;All","Vitality","4","0","0","8","Ward Pulse","Protector's Wake","","","When shielded, reflects a small hit to nearby attackers.","Briarheart Boss","briarheart-boss","Boss Rare","Boss tank chase item.","Planned","End-run defensive identity."
"briarheart_crown","Briarheart Crown","End","Rare","Yes","helmet","support;controller","All","Vitality","0","4","2","6","Rally Mark","Rallying","","","Marked boss targets feed meter to the whole party.","Briarheart Boss","briarheart-boss","Boss Rare","Party focus chase item.","Planned","Excellent MMO raid-target fantasy."
"briarheart_cleaver","Oathroot Cleaver of Motherslash","End","Rare","Yes","weapon","frontline;striker","Warrior","Strength","8","0","1","4","","","Mother Spin","MotherLoad","Mother Load chain weapon for Warrior.","Briarheart Boss","briarheart-boss","Boss Rare","Warrior damage chase item.","Planned","Matches existing Mother Spin concept."
"briarheart_star_bloom_amulet","Star-Bloom Amulet of Rallying","End","Rare","Yes","amulet","support;tempo","All","Intelligence","0","6","0","4","Haste","Motherseed Echo","","","Repeats part of adjacent support or tempo effects after a delay.","Briarheart Boss","briarheart-boss","Boss Rare","Party support chase item.","Planned","High-impact non-weapon identity piece."
"briarheart_briarspike_gloves","Briarspike Gloves","End","Rare","Yes","gloves","striker","Warrior;Ranger;Thief","Dexterity","3","0","8","0","Thorn Jab","Bleed Edge","","","Bleeds tick faster on marked enemies.","Briarheart Boss","briarheart-boss","Boss Rare","Physical damage chase item.","Planned","Pairs with Rally Mark."
"woundclock_hour_zero_amulet","Hour-Zero Amulet","Finale","Rare","Yes","amulet","tempo;support","All","Intelligence","0","7","0","5","Haste","Motherseed Echo","Hour Zero","","Briefly compresses party Special cooldowns after a long windup.","Woundclock Finale","woundclock-finale","Finale Rare","Final boss support chase item.","Planned","Very strong; should be boss-only."
"woundclock_gearcore","Arbiter's Gearcore","Finale","Rare","Yes","ring","tempo;controller","All","Dexterity","0","3","5","3","Root Snare","Quickroot","Time Rift","","Delayed control pulse near the target.","Woundclock Finale","woundclock-finale","Finale Rare","Control chase item.","Planned","Woundclock signature drop."
"woundclock_chronolance_bow","Chronolance Bow","Finale","Rare","Yes","weapon","striker;controller","Ranger","Dexterity","0","0","8","3","","","Chronolance","MotherLoad","Piercing Mother Load Special against marked targets.","Woundclock Finale","woundclock-finale","Finale Rare","Ranger final chase weapon.","Planned","Can reuse chrono visual language."
"woundclock_moonwell_staff","Moonwell Staff","Finale","Rare","Yes","weapon","caster","Mage","Intelligence","0","8","0","3","","","Moonfall","MotherLoad","Delayed falling-moon Special with Mother Load chaining.","Woundclock Finale","woundclock-finale","Finale Rare","Mage final chase weapon.","Planned","Matches existing Moonfall direction."
"woundclock_lazarus_charm","Lazarus Charm","Finale","Rare","Yes","weapon","support","Cleric","Intelligence","0","7","0","5","","","Mother's Healing","","Large targeted heal; clears rather than triggers Mother Load.","Woundclock Finale","woundclock-finale","Finale Rare","Cleric final support weapon.","Planned","Support Special should stay untagged."
"woundclock_moonstep_boots","Arbiter's Moonstep Boots","Finale","Rare","Yes","boots","tempo","All","Dexterity","0","2","6","3","Haste","Quickroot","","","First Branch loop starts faster each battle.","Woundclock Finale","woundclock-finale","Finale Rare","Universal tempo chase item.","Planned","Boss-only speed fantasy."
"woundclock_phaseglass_helm","Phaseglass Helm","Finale","Rare","Yes","helmet","caster;tempo","Mage;Cleric;Ranger","Intelligence","0","7","2","2","Focused Shot","Motherseed Echo","","","Ranged Branch actions repeat a small echo after delay.","Woundclock Finale","woundclock-finale","Finale Rare","Ranged/caster chase item.","Planned","Could be too strong with Quickroot; test later."
"shop_seedglass_band","Seedglass Band","Early","Common","No","ring","support;caster","All","Vitality","0","1","0","1","","Sap Fed","","","Cheap stat-fixing ring with a meter hook.","Any Shop","","Early Common","Filler shop item that still teaches systems.","Planned","No encounter lock."
"shop_rootrunner_legwraps","Rootrunner Legwraps","Mid","Uncommon","No","pants","tempo;controller","All","Vitality","0","0","2","4","Root Snare","Quickroot","","","Helps party maintain formation tempo.","Any Shop","","Market Uncommon","General-purpose tempo shop pickup.","Planned","Good pre-elite buy."
"shop_ambergrip_wraps","Ambergrip Wraps","Mid","Uncommon","No","gloves","striker;caster","Mage;Ranger;Thief","Dexterity","0","2","4","0","Ember Seed","Amber Vein","","","Adds burst to adjacent compatible Abilities.","Any Shop","","Market Uncommon","Hybrid damage shop item.","Planned","For non-Warrior damage builds."
"shop_moonlit_charm","Moonlit Charm","Late","Uncommon","No","amulet","support;caster","Cleric;Mage","Intelligence","0","5","0","2","Mendbeat","Star Bloom","","","Heals and pulses gain radius.","Any Shop","","Late Uncommon","Late shop support stabilizer.","Planned","Good before bosses."
